budget;genres;id;keywords;original_language;original_title;overview;production_companies;release_date;revenue;runtime;tagline;title;rating;vote_count;director
237000000;Action & Adventure & Fantasy & Science Fiction;19995;culture clash future space war space colony society;en;Avatar;In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.;"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]";2009-12-10;2787965087;162.0;Enter the World of Pandora.;Avatar;7.2;11800;James Cameron
300000000;Adventure & Fantasy & Action;285;ocean drug abuse exotic island east india trading company love of one's life;en;Pirates of the Caribbean: At World's End;Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]";2007-05-19;961000000;169.0;At the end of the world, the adventure begins.;Pirates of the Caribbean: At World's End;6.9;4500;Gore Verbinski
245000000;Action & Adventure & Crime;206647;spy based on novel secret agent sequel mi6;en;Spectre;A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]";2015-10-26;880674609;148.0;A Plan No One Escapes;Spectre;6.3;4466;Sam Mendes
250000000;Action & Crime & Drama & Thriller;49026;dc comics crime fighter terrorist secret identity burglar;en;The Dark Knight Rises;Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.;"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]";2012-07-16;1084939099;165.0;The Legend Ends;The Dark Knight Rises;7.6;9106;Christopher Nolan
260000000;Action & Adventure & Science Fiction;49529;based on novel mars medallion space travel princess;en;John Carter;John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]";2012-03-07;284139100;132.0;Lost in our world, found in another.;John Carter;6.1;2124;Andrew Stanton
258000000;Fantasy & Action & Adventure;559;dual identity amnesia sandstorm love of one's life forgiveness;en;Spider-Man 3;The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.;"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]";2007-05-01;890871626;139.0;The battle within.;Spider-Man 3;5.9;3576;Sam Raimi
260000000;Animation & Family;38757;hostage magic horse fairy tale musical;en;Tangled;When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.;"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]";2010-11-24;591794936;100.0;They're taking adventure to new lengths.;Tangled;7.4;3330;Byron Howard
280000000;Action & Adventure & Science Fiction;99861;marvel comic sequel superhero based on comic book vision;en;Avengers: Age of Ultron;When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.;"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]";2015-04-22;1405403694;141.0;A New Age Has Come.;Avengers: Age of Ultron;7.3;6767;Joss Whedon
250000000;Adventure & Fantasy & Family;767;witch magic broom school of witchcraft wizardry;en;Harry Potter and the Half-Blood Prince;As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.;"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]";2009-07-07;933959197;153.0;Dark Secrets Revealed;Harry Potter and the Half-Blood Prince;7.4;5293;David Yates
250000000;Action & Adventure & Fantasy;209112;dc comics vigilante superhero based on comic book revenge;en;Batman v Superman: Dawn of Justice;Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.;"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]";2016-03-23;873260194;151.0;Justice or revenge;Batman v Superman: Dawn of Justice;5.7;7004;Zack Snyder
